id,iebc_ward_name,count,province,district,division,pcode,status,no,shape_type,status_1,created_at,updated_at,voided,county,constituency
1376,Wamunyu,7,Eastern,Machakos,Yathui,KE1377,,409,Polygon,,2026-03-04 16:06:00.070869,2026-03-04 16:27:41.613374,f,Machakos,Yathui
1379,Wanjohi,4,Central,Nyandarua,Kipipiri,KE1380,,449,Polygon,,2026-03-04 16:06:00.103936,2026-03-04 16:27:41.622422,f,Nyandarua,Kipipiri
1380,Waranqara,4,North Eastern,Mandera,Waranqara,KE1381,,219,Polygon,,2026-03-04 16:06:00.111967,2026-03-04 16:27:41.62714,f,Mandera,Waranqara
1381,Wargadud,8,North Eastern,Wajir,Kotulo,KE1382,,175,Polygon,,2026-03-04 16:06:00.118615,2026-03-04 16:27:41.631774,f,Wajir,Kotulo
302,Githiga,4,Central,Kiambu,Githunguri,KE0303,,813,Polygon,,2026-03-04 16:05:52.656408,2026-03-04 16:26:02.49846,f,Kiambu,Githunguri
1383,Waso,6,Rift Valley,Samburu,Waso,KE1384,,672,Polygon,,2026-03-04 16:06:00.130773,2026-03-04 16:27:41.636503,f,Samburu,Waso
1386,Wayu,6,Coast,Tana River,Galole,KE1387,,95,Polygon,,2026-03-04 16:06:00.147318,2026-03-04 16:27:41.641539,f,Tana River,Galole
1369,Waithaka,2,Nairobi,Nairobi,Dagoretti,KE1370,,1380,Polygon,,2026-03-04 16:05:59.969904,2026-03-04 16:26:10.25885,f,Nairobi,Dagoretti North
1388,Wemilabi,6,Western,Vihiga,Emuhaya,KE1389,,1069,Polygon,,2026-03-04 16:06:00.15756,2026-03-04 16:27:41.651369,f,Vihiga,Emuhaya
1389,Weru,4,Central,Nyandarua,Ol Joro Orok,KE1390,,460,Polygon,,2026-03-04 16:06:00.162851,2026-03-04 16:27:41.658953,f,Nyandarua,Ol Joro Orok
1392,West Alego,10,Nyanza,Siaya,Uranga,KE1393,,1164,Polygon,,2026-03-04 16:06:00.178259,2026-03-04 16:27:41.670507,f,Siaya,Uranga
1393,West Bukusu,4,Western,Bungoma,Bumula,KE1394,,1094,Polygon,,2026-03-04 16:06:00.183244,2026-03-04 16:27:41.686228,f,Bungoma,Bumula
1395,West Gem,10,Nyanza,Siaya,Wagai,KE1396,,1170,Polygon,,2026-03-04 16:06:00.192742,2026-03-04 16:27:41.714197,f,Siaya,Wagai
1400,West Kisumu,5,Nyanza,Kisumu,Maseno,KE1401,,1194,Polygon,,2026-03-04 16:06:00.215196,2026-03-04 16:27:41.734163,f,Kisumu,Maseno
1401,West Nalondo,2,Western,Bungoma,Nalondo,KE1402,,1086,Polygon,,2026-03-04 16:06:00.219552,2026-03-04 16:27:41.742245,f,Bungoma,Nalondo
1403,West Sabatia,5,Western,Vihiga,Sabatia,KE1404,,1056,Polygon,,2026-03-04 16:06:00.228812,2026-03-04 16:27:41.748449,f,Vihiga,Sabatia
1406,West Seme,10,Nyanza,Kisumu,Kombewa,KE1407,,1202,Polygon,,2026-03-04 16:06:00.241998,2026-03-04 16:27:41.763221,f,Kisumu,Kombewa
1407,West Ugenya,9,Nyanza,Siaya,Ukwala,KE1408,,1156,Polygon,,2026-03-04 16:06:00.2473,2026-03-04 16:27:41.768344,f,Siaya,Ukwala
1382,Wasimbete,4,Nyanza,Migori,Suba West,KE1383,,1276,Polygon,,2026-03-04 16:06:00.124574,2026-03-04 16:26:10.332522,f,Migori,Suba West
1411,Witu,4,Coast,Lamu,Witu,KE1412,,109,Polygon,,2026-03-04 16:06:00.266125,2026-03-04 16:27:41.779148,f,Lamu,Witu
1412,Wodanga,5,Western,Vihiga,Sabatia,KE1413,,1059,Polygon,,2026-03-04 16:06:00.270549,2026-03-04 16:27:41.784608,f,Vihiga,Sabatia
1414,Wote,6,Eastern,Makueni,Wote,KE1415,,424,Polygon,,2026-03-04 16:06:00.280111,2026-03-04 16:27:41.790722,f,Makueni,Wote
1417,Yala Township,3,Nyanza,Siaya,Yala,KE1418,,1172,Polygon,,2026-03-04 16:06:00.294494,2026-03-04 16:27:41.796813,f,Siaya,Yala
1421,Ziwa,4,Rift Valley,Uasin Gishu,Soy,KE1422,,703,Polygon,,2026-03-04 16:06:00.314763,2026-03-04 16:27:41.802784,f,Uasin Gishu,
1423,Kabuoch South/Pala,3,Nyanza,Homa Bay,Riana,KE0002,,1249,Polygon,,2026-03-04 16:06:00.327374,2026-03-04 16:27:41.808587,f,Homa Bay,Riana
1409,Wiga,4,Nyanza,Migori,Suba West,KE1410,,1273,Polygon,,2026-03-04 16:06:00.256977,2026-03-04 16:26:10.474512,f,Migori,Suba West
1420,Zimmerman,2,Nairobi,Nairobi,Kasarani,KE1421,,1393,Polygon,,2026-03-04 16:06:00.309157,2026-03-04 16:26:10.51326,f,Nairobi,Kasarani
1422,Ziwani/Kariokor,1,Nairobi,Nairobi,Central,KE1423,,1442,Polygon,,2026-03-04 16:06:00.320246,2026-03-04 16:26:10.54616,f,Nairobi,Imenti Central
342,Idakho South,6,Western,Kakamega,Ikolomani,KE0343,,1047,Polygon,,2026-03-04 16:05:52.947767,2026-03-04 16:27:34.885554,f,Kakamega,Ikolomani
367,Iria-ini,6,Central,Nyeri,Othaya,KE0368,,484,Polygon,,2026-03-04 16:05:53.198979,2026-03-04 16:27:35.008784,f,Nyeri,Othaya
376,Jara Jila,2,North Eastern,Garissa,Jara Jila,KE0377,,154,Polygon,spacing,2026-03-04 16:05:53.245859,2026-03-04 16:27:35.054917,f,Garissa,Jara Jila
386,Kaaleng/Kaikor,8,Rift Valley,Turkana,Kaaleng,KE0387,,614,Polygon,,2026-03-04 16:05:53.295258,2026-03-04 16:27:35.197245,f,Turkana,Kaaleng
403,Kabuchai/Chwale,3,Western,Bungoma,Chwele,KE0404,,1085,Polygon,spelling,2026-03-04 16:05:53.386533,2026-03-04 16:27:35.29892,f,Bungoma,Chwele
424,Kalaliyo,9,North Eastern,Mandera,Kalaliyo,KE0425,,213,Polygon,spelling,2026-03-04 16:05:53.550397,2026-03-04 16:27:35.396846,f,Mandera,Kalaliyo
434,Kamagut,2,Rift Valley,Uasin Gishu,Turbo,KE0435,,710,Polygon,,2026-03-04 16:05:53.602521,2026-03-04 16:27:35.507156,f,Uasin Gishu,Turbo
439,Kamasian,7,Rift Valley,Kericho,Kipkelion,KE0440,,941,Polygon,,2026-03-04 16:05:53.628163,2026-03-04 16:27:35.571186,f,Kericho,Kipkelion
444,Kamukuywa,2,Western,Bungoma,Kimilili,KE0445,,1114,Polygon,,2026-03-04 16:05:53.653687,2026-03-04 16:27:35.591111,f,Bungoma,Kimilili
452,Kangundo Central,4,Eastern,Machakos,Kangundo,KE0453,,382,Polygon,,2026-03-04 16:05:53.700247,2026-03-04 16:27:35.621188,f,Machakos,Kangundo
334,Huruma,1,Nairobi,Nairobi,Central,KE0335,,713,Polygon,,2026-03-04 16:05:52.908328,2026-03-04 16:26:02.712346,f,Nairobi,Imenti Central
477,Kaplamai,1,Rift Valley,Trans Nzoia,Kaplamai,KE0478,,696,Polygon,,2026-03-04 16:05:53.939315,2026-03-04 16:27:35.752192,f,Trans Nzoia,Kaplamai
351,Ikinu,4,Central,Kiambu,Githunguri,KE0352,,579,Polygon,,2026-03-04 16:05:53.004224,2026-03-04 16:26:02.786769,f,Kiambu,Githunguri
488,Kapsowar,7,Rift Valley,Elgeyo Marakwet,Kapsowar,KE0489,,739,Polygon,,2026-03-04 16:05:53.99581,2026-03-04 16:27:35.855171,f,Elgeyo Marakwet,Kapsowar
